code,category,desc,date,starttime,endtime,location,username,duration
1000,3,Registration Setup,2022-10-15,16:00,18:00,todo,,2.00
1001,3,Registration Setup,2022-10-15,16:00,18:00,todo,,2.00
1002,3,Registration,2022-10-15,18:00,20:00,todo,,2.00
1003,3,Registration,2022-10-15,18:00,20:00,todo,,2.00
1004,3,Registration,2022-10-15,18:00,20:00,todo,,2.00
1005,3,Registration,2022-10-15,18:00,20:00,todo,,2.00
1006,3,Poster set up,2022-10-15,18:00,20:00,todo,,2.00
1007,3,Poster set up,2022-10-15,18:00,20:00,todo,,2.00
1008,1,[Captains] Sunday morning,2022-10-16,7:45,12:30,todo,,4.75
1009,3,Registration,2022-10-16,8:00,10:00,todo,,2.00
1010,3,Registration,2022-10-16,8:00,10:00,todo,,2.00
1011,3,Registration,2022-10-16,8:00,10:00,todo,,2.00
1012,3,Registration,2022-10-16,8:00,10:00,todo,,2.00
1013,3,Crowd Control,2022-10-16,8:00,10:00,todo,,2.00
1014,3,Speaker Prep,2022-10-16,9:00,11:00,todo,,2.00
1015,4,[Moderator] Symposium: LDAV: Large Data Analysis and Visualization,2022-10-16,8:45,10:15,todo,,1.50
1016,4,[Moderator] Workshop: VIS4DH: Visualization for the Digital Humanities,2022-10-16,8:45,10:15,todo,,1.50
1017,4,[Moderator] Symposium: VDS: Visualization in Data Science ,2022-10-16,8:45,10:15,todo,,1.50
1018,4,[Moderator] VAST Challenge,2022-10-16,8:45,10:15,todo,,1.50
1019,4,[Moderator] Workshop:alt.VIS,2022-10-16,8:45,10:15,todo,,1.50
1020,4,[Moderator] Workshop: TREX: TRust and EXpertise in Visualization,2022-10-16,8:45,10:15,todo,,1.50
1021,4,[Moderator] Tutorial: Color Scheming in Visualization,2022-10-16,8:45,10:15,todo,,1.50
1022,4,[Moderator] Tutorial: NLP4Vis: Natural Language Processing for Information Visualization,2022-10-16,8:45,10:15,todo,,1.50
1023,4,[In-Person] Symposium: LDAV: Large Data Analysis and Visualization,2022-10-16,8:45,10:15,todo,,1.50
1024,4,[In-Person] Workshop: VIS4DH: Visualization for the Digital Humanities,2022-10-16,8:45,10:15,todo,,1.50
1025,4,[In-Person] Symposium: VDS: Visualization in Data Science ,2022-10-16,8:45,10:15,todo,,1.50
1026,4,[In-Person] VAST Challenge,2022-10-16,8:45,10:15,todo,,1.50
1027,4,[In-Person] Workshop:alt.VIS,2022-10-16,8:45,10:15,todo,,1.50
1028,4,[In-Person] Workshop: TREX: TRust and EXpertise in Visualization,2022-10-16,8:45,10:15,todo,,1.50
1029,4,[In-Person] Tutorial: Color Scheming in Visualization,2022-10-16,8:45,10:15,todo,,1.50
1030,4,[In-Person] Tutorial: NLP4Vis: Natural Language Processing for Information Visualization,2022-10-16,8:45,10:15,todo,,1.50
1031,5,Standbys,2022-10-16,8:45,10:45,todo,,2.00
